row_idx,top_features,top_abs_z
293,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[12.634091722662493, 12.616596312030095, 9.386474115141562, 0.9999995745697359, 0.9999995745697359]"
311,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[5.7507804591560365, 1.9950045249592383, 1.5186580523178643, 0.9999995745697359, 0.9999995745697359]"
389,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.25460705584171, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
405,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.045423223796093, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
426,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.866852165235866, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
427,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 'distinct_hcpcs']","[3.833761278355677, 3.8235420338368837, 3.3156843726085303, 1.9950045249592383, 1.8209330050077823]"
445,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.7201676856706476, 1.5677642874110593, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
480,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.805800344797664, 4.843892585121824, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
528,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[5.73187017128132, 5.365991499272786, 4.817498263774206, 1.0975770233747617, 0.9999995745697359]"
631,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[5.448484501144632, 1.9950045249592383, 1.0158876275804078, 1.0088640642821916, 0.9999995745697359]"
665,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[3.6347087530762074, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
669,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.593658397380021, 5.576615643113, 2.528964343398333, 1.9950045249592383, 0.9999995745697359]"
821,"['distinct_hcpcs', 'distinct_pos', 'mean_payment', 'mean_allowed', 'total_services']","[2.62705555970486, 1.9950045249592383, 1.3157897305328938, 1.2891825782608923, 1.2567777242997622]"
840,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.650015139818902, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
880,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.4818024579446134, 1.1155757696478392, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
881,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.332412795064803, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
889,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.030116837053399, 1.9950045249592383, 1.5158009038862517, 0.9999995745697359, 0.9999995745697359]"
931,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[8.361389404067966, 6.514236341811504, 6.484567088026998, 1.3175904142449815, 0.9999995745697359]"
966,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.843892585121824, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
975,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[7.463790887887327, 1.9950045249592383, 1.1927773910507347, 0.9999995745697359, 0.9999995745697359]"
1008,"['mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.7176971097304055, 4.615046019489941, 1.2007450278809677, 0.9999995745697359, 0.9999995745697359]"
1073,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.310990032264289, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
1077,"['t_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share', 'allow_ratio']","[0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.5674162589972284]"
1099,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[2.62705555970486, 1.9950045249592383, 1.0974426997741442, 0.9999995745697359, 0.9999995745697359]"
1205,"['total_services', 'total_beneficiaries', 'distinct_hcpcs', 'distinct_pos', 't_hipaa_share']","[24.175540231544215, 4.6662637473619535, 3.1308821563905336, 1.9950045249592383, 0.9999995745697359]"
1212,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.198890678271994, 7.171976147171256, 5.302348313954572, 0.9999995745697359, 0.9999995745697359]"
1259,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[7.163529997338586, 7.033766297292641, 4.567714350641204, 1.1155757696478392, 0.9999995745697359]"
1273,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[2.526290240367725, 1.4452905082174066, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
1366,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.642361946447554, 1.414123061276356, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
1389,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[3.0309231778077446, 2.9755852654976813, 2.6550491615343965, 1.6194023663335129, 1.0468179195002405]"
1411,"['distinct_hcpcs', 'total_services', 'mean_payment', 'mean_allowed', 't_hipaa_share']","[1.6194023663335129, 1.4503175157885437, 1.2299710844334668, 1.1691831577233947, 0.9999995745697359]"
1413,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[6.238373155121087, 6.2102522090980115, 2.33933149558555, 1.9950045249592383, 0.9999995745697359]"
1508,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[3.8514760320290407, 3.8152893755750883, 2.1100548005349338, 0.9999995745697359, 0.9999995745697359]"
1513,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 'distinct_hcpcs']","[6.926728339830104, 6.867749220891199, 3.500223085557686, 1.9950045249592383, 1.921698324344917]"
1552,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.239300669099015, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
1594,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[8.090310642262345, 8.04497680501752, 7.118213389514199, 1.1014646354146718, 0.9999995745697359]"
1602,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[4.046241107203734, 4.029044768968915, 2.1973376626380103, 1.9950045249592383, 0.9999995745697359]"
1613,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[7.117695542814374, 7.090881628955894, 5.469694288967008, 1.001456804388801, 0.9999995745697359]"
1662,"['mean_allowed', 'mean_payment', 'distinct_pos', 'distinct_hcpcs', 'mean_charge']","[2.2794324053424164, 2.27250863436879, 1.9950045249592383, 1.216341088984974, 1.0595640521505643]"
1732,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[8.972404758741737, 8.951434006419687, 8.754337359428868, 1.1750949387073355, 0.9999995745697359]"
1758,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.045423223796093, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
1804,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[8.622882636766276, 4.812999159103553, 4.548448994687893, 1.4641894774251318, 0.9999995745697359]"
1834,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[10.931508910976426, 10.927599141168177, 9.303930405191302, 1.1155757696478392, 1.0875018553846372]"
1905,"['mean_payment', 'mean_allowed', 'allow_ratio', 'total_services', 't_hipaa_share']","[2.7620347775782865, 2.7388559545074598, 1.7021307069061968, 1.4851626156368998, 0.9999995745697359]"
1935,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[10.183748583189145, 5.0121580318559085, 4.602494377836785, 1.5179793033282338, 0.9999995745697359]"
1951,"['total_services', 'distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[4.617940818100422, 4.037770030424746, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
2049,"['mean_allowed', 'mean_payment', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share']","[2.868583652960642, 2.8617354499525103, 2.7278208790419947, 0.9999995745697359, 0.9999995745697359]"
2097,"['distinct_hcpcs', 'mean_charge', 'distinct_pos', 'allow_ratio', 't_hipaa_share']","[3.1308821563905336, 2.7180696746109954, 1.9950045249592383, 1.561917382296081, 0.9999995745697359]"
2133,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[11.791009729707472, 11.767565790968257, 10.617924814732337, 1.1304610879943637, 0.9999995745697359]"
2140,"['mean_payment', 'mean_allowed', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.230023204012114, 4.187200988510893, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
2245,"['distinct_hcpcs', 'total_services', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.642361946447554, 1.9959065848644375, 1.0507215549426703, 0.9999995745697359, 0.9999995745697359]"
2264,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.14801965373966, 7.121168260410434, 5.32116146738329, 0.9999995745697359, 0.9999995745697359]"
2290,"['mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[2.911666498042174, 2.907696483022472, 1.4069990417646898, 0.9999995745697359, 0.9999995745697359]"
2447,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[9.080583941031325, 9.04341386624146, 8.652394012914836, 1.158892704301423, 0.9999995745697359]"
2477,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.490424737559913, 7.445609999127661, 2.146579204134066, 0.9999995745697359, 0.9999995745697359]"
2528,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[5.5492498204817675, 1.9950045249592383, 1.9736290039439244, 0.9999995745697359, 0.9999995745697359]"
2645,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.463790887887327, 1.134833103797808, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
2653,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[5.166529161045516, 5.147058586181393, 2.358369254745712, 1.9950045249592383, 0.9999995745697359]"
2659,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[2.4255249210305907, 1.9950045249592383, 1.1500708060305758, 0.9999995745697359, 0.9999995745697359]"
2705,"['distinct_hcpcs', 'total_services', 'distinct_pos', 'allow_ratio', 't_hipaa_share']","[5.650015139818902, 3.2478960494234452, 1.9950045249592383, 1.0516235046086388, 0.9999995745697359]"
2763,"['distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.153841736504575, 1.026904716610452, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
2798,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.138535349761881, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
2850,"['distinct_pos', 'distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share']","[1.9950045249592383, 1.5186370469963781, 1.1952894843243789, 0.9999995745697359, 0.9999995745697359]"
2878,"['distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.9950045249592383, 1.4432797051889517, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
2977,"['distinct_pos', 'distinct_hcpcs', 'total_services', 'mean_charge', 'allow_ratio']","[1.9950045249592383, 1.3171064083221087, 1.198808389624175, 1.1882465692070292, 1.1859440468151616]"
3126,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[5.067198639612152, 4.741786931467435, 1.1568998450197263, 0.9999995745697359, 0.9999995745697359]"
3184,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.459228980630662, 7.417811197807336, 4.122709735344337, 0.9999995745697359, 0.9999995745697359]"
3207,"['distinct_hcpcs', 'mean_charge', 'distinct_pos', 'mean_payment', 'mean_allowed']","[3.6347087530762074, 2.2591498133062617, 1.9950045249592383, 1.7666603644123997, 1.7480877727385793]"
3341,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[15.155080008031204, 15.13919681666143, 10.617924814732337, 0.9999995745697359, 0.9999995745697359]"
3528,"['distinct_pos', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.9950045249592383, 1.921698324344917, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
3714,"['mean_payment', 'mean_allowed', 'distinct_hcpcs', 'mean_charge', 't_hipaa_share']","[2.488773728745372, 2.4583304912496846, 1.8209330050077823, 1.7520957161304762, 0.9999995745697359]"
3769,"['mean_charge', 'mean_allowed', 'mean_payment', 'allow_ratio', 't_hipaa_share']","[8.374967075521619, 5.474206267059821, 5.345569131702003, 1.388824894598087, 0.9999995745697359]"
3774,"['mean_allowed', 'mean_payment', 'distinct_pos', 'distinct_hcpcs', 't_hipaa_share']","[3.2427949248262635, 3.21850512872103, 1.9950045249592383, 1.4178717276592434, 0.9999995745697359]"
3794,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.433178114401938, 1.9950045249592383, 1.0301866364923267, 0.9999995745697359, 0.9999995745697359]"
3799,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[4.340065988436151, 2.6737059530612393, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
3948,"['mean_allowed', 'mean_payment', 'total_services', 'distinct_pos', 'distinct_hcpcs']","[2.573804276652692, 2.53493999880993, 2.462889130288497, 1.9950045249592383, 1.6194023663335129]"
3954,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[6.355372375178845, 1.9950045249592383, 1.0971536181001518, 0.9999995745697359, 0.9999995745697359]"
4030,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[4.823128668218235, 4.782734848876709, 4.1817723914532205, 1.0687374996869508, 0.9999995745697359]"
4032,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.312810796726895, 8.25907733208274, 3.653379559192395, 0.9999995745697359, 0.9999995745697359]"
4274,"['mean_allowed', 'mean_payment', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[8.120756022966749, 8.107089610400763, 6.348463319895018, 1.0159959819376594, 0.9999995745697359]"
4804,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.655923252749098, 8.627365882876724, 3.3721517227438706, 0.9999995745697359, 0.9999995745697359]"
4841,"['mean_payment', 'mean_allowed', 'mean_charge', 'allow_ratio', 't_hipaa_share']","[4.624855310954773, 4.612416648389588, 4.429349107645609, 1.132739430920858, 0.9999995745697359]"
5218,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[11.740615525862857, 11.730513239072364, 7.703439277920684, 0.9999995745697359, 0.9999995745697359]"
5219,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[10.617924814732337, 3.960554809136503, 3.8924268659781176, 1.5708606918882597, 0.9999995745697359]"
5352,"['total_beneficiaries', 'total_services', 'distinct_hcpcs', 'allow_ratio', 'mean_allowed']","[10.816558249672044, 7.666000714022991, 6.355372375178845, 1.7733611395511164, 1.14776471738867]"
5387,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[6.348633381574122, 6.334100823431069, 6.16229420368421, 1.4178717276592434, 1.157648093939026]"
5605,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.158131738898151, 7.131267788301122, 5.294135575529567, 0.9999995745697359, 0.9999995745697359]"
5759,"['distinct_hcpcs', 'allow_ratio', 'mean_charge', 't_hipaa_share', 't_billing_share']","[4.138535349761881, 1.1109772265911737, 1.0368326711815554, 0.9999995745697359, 0.9999995745697359]"
5786,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[10.13633772156572, 5.980160452821039, 5.978877238147237, 1.4360944990854685, 0.9999995745697359]"
5888,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[7.203748610929485, 7.176828155093953, 5.26267917936733, 0.9999995745697359, 0.9999995745697359]"
5940,"['distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
5950,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[10.617924814732337, 6.008281285423698, 5.778502717085001, 1.4653861008171754, 0.9999995745697359]"
6190,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[6.495748174355785, 6.452067913301169, 4.479188949946732, 0.9999995745697359, 0.9999995745697359]"
6252,"['total_services', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[9.269430923673658, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
6385,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[14.790158141951641, 14.726229766909292, 8.85497452557399, 0.9999995745697359, 0.9999995745697359]"
6616,"['t_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share', 'mean_allowed']","[0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.8629308460192807]"
6788,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[12.533407155864746, 12.450789528190809, 3.6662964682673924, 0.9999995745697359, 0.9999995745697359]"
6795,"['mean_charge', 'mean_payment', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[10.617924814732337, 8.31545039150415, 8.266265620559757, 1.3262635014944486, 0.9999995745697359]"
6865,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[1.3171064083221087, 1.1810286575831004, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
6875,"['total_services', 'total_beneficiaries', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.297512867914414, 1.2958058420077083, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
6876,"['total_services', 'mean_allowed', 'mean_payment', 't_hipaa_share', 't_billing_share']","[3.154287876861954, 1.1623719727884159, 1.0851292247641018, 0.9999995745697359, 0.9999995745697359]"
6944,"['allow_ratio', 'total_services', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[2.59286200822077, 1.706668443981955, 1.1623719727884159, 1.0851292247641018, 0.9999995745697359]"
6990,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[12.044857325634958, 12.039347294765108, 8.382806053410171, 1.4178717276592434, 0.9999995745697359]"
7175,"['distinct_hcpcs', 'distinct_pos', 'mean_allowed', 'mean_payment', 't_hipaa_share']","[3.735474072413342, 1.9950045249592383, 1.2747758302420928, 1.233550868895164, 0.9999995745697359]"
7257,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[8.636092257586524, 8.587761794808019, 4.362145283104041, 0.9999995745697359, 0.9999995745697359]"
7289,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.642361946447554, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7290,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[3.735474072413342, 1.9950045249592383, 1.1856058802662937, 0.9999995745697359, 0.9999995745697359]"
7313,"['distinct_hcpcs', 'distinct_pos', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.74312726578469, 1.9950045249592383, 1.3135616525881617, 0.9999995745697359, 0.9999995745697359]"
7314,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.153841736504575, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7389,"['distinct_hcpcs', 'distinct_pos', 'total_services', 't_hipaa_share', 't_billing_share']","[2.3247596016934557, 1.9950045249592383, 1.446348825600804, 0.9999995745697359, 0.9999995745697359]"
7403,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[6.91102355064194, 4.340065988436151, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7410,"['mean_allowed', 'mean_payment', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[11.365556256252885, 11.333605540604841, 7.164645296361548, 2.1232289630191863, 0.9999995745697359]"
7414,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[5.851545778493171, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7440,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.239300669099015, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7450,"['mean_allowed', 'mean_payment', 'distinct_pos', 'mean_charge', 'distinct_hcpcs']","[4.07005939194719, 4.00177654757589, 1.9950045249592383, 1.3950311937233046, 1.1155757696478392]"
7455,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.440831307773285, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7472,"['distinct_hcpcs', 'total_services', 'distinct_pos', 't_hipaa_share', 't_billing_share']","[2.8285861983791296, 2.1476957555781957, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359]"
7499,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.5339434337390725, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7589,"['mean_payment', 'mean_charge', 'mean_allowed', 'allow_ratio', 't_hipaa_share']","[7.448340184953324, 7.339907368617007, 7.122958480073297, 1.198439467425094, 0.9999995745697359]"
7594,"['mean_payment', 'mean_allowed', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.2972464857239028, 3.264720947577535, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7633,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[3.221247389305096, 3.2079474141023403, 1.2373375076157451, 0.9999995745697359, 0.9999995745697359]"
7664,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 't_hipaa_share']","[8.488575265544037, 8.428884392409348, 3.7497397717297267, 1.7201676856706476, 0.9999995745697359]"
7693,"['total_services', 'mean_allowed', 'mean_payment', 'distinct_hcpcs', 't_hipaa_share']","[1.4539951686958494, 1.3055854504143012, 1.2594814838552877, 1.216341088984974, 0.9999995745697359]"
7707,"['total_services', 'distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.055131729181848, 2.4255249210305907, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7761,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.74312726578469, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7808,"['mean_allowed', 'mean_payment', 'total_services', 't_hipaa_share', 't_billing_share']","[3.4418372400703547, 3.417221034269964, 1.192908270211735, 0.9999995745697359, 0.9999995745697359]"
7842,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[4.944657904458959, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7918,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[5.347719181807498, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
7979,"['mean_payment', 'mean_allowed', 'mean_charge', 't_hipaa_share', 't_billing_share']","[12.168639683758611, 12.136577419533909, 8.951531174424037, 0.9999995745697359, 0.9999995745697359]"
7980,"['distinct_hcpcs', 'total_services', 't_hipaa_share', 't_billing_share', 't_lab_share']","[3.5339434337390725, 1.4428563782355928, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
